FIPS,Confirmed,Deaths,Recovered,Active,Date
29035.0,0,0,0,0,03-23-2020
30011.0,0,0,0,0,03-23-2020
40019.0,0,0,0,0,03-23-2020
47019.0,0,0,0,0,03-23-2020
37031.0,5,0,0,0,03-23-2020
27019.0,8,0,0,0,03-23-2020
30013.0,3,0,0,0,03-23-2020
21045.0,0,0,0,0,03-23-2020
17017.0,0,0,0,0,03-23-2020
18017.0,0,0,0,0,03-23-2020
19029.0,0,0,0,0,03-23-2020
26027.0,0,0,0,0,03-23-2020
27021.0,1,0,0,0,03-23-2020
29037.0,6,0,0,0,03-23-2020
31025.0,1,0,0,0,03-23-2020
38017.0,1,0,0,0,03-23-2020
48067.0,0,0,0,0,03-23-2020
16031.0,1,0,0,0,03-23-2020
48069.0,2,0,0,0,03-23-2020
37033.0,0,0,0,0,03-23-2020
22025.0,1,1,0,0,03-23-2020
37035.0,4,0,0,0,03-23-2020
13047.0,1,0,0,0,03-23-2020
35003.0,0,0,0,0,03-23-2020
36009.0,0,0,0,0,03-23-2020
38019.0,0,0,0,0,03-23-2020
36011.0,0,0,0,0,03-23-2020
24015.0,1,0,0,0,03-23-2020
19031.0,0,0,0,0,03-23-2020
29039.0,0,0,0,0,03-23-2020
31027.0,0,0,0,0,03-23-2020
42027.0,3,0,0,0,03-23-2020
19033.0,2,0,0,0,03-23-2020
8015.0,3,0,0,0,03-23-2020
1017.0,2,0,0,0,03-23-2020
48071.0,1,0,0,0,03-23-2020
17019.0,3,0,0,0,03-23-2020
39021.0,0,0,0,0,03-23-2020
29041.0,0,0,0,0,03-23-2020
24017.0,5,0,0,0,03-23-2020
51036.0,1,0,0,0,03-23-2020
46023.0,1,0,0,0,03-23-2020
45019.0,31,1,0,0,03-23-2020
26029.0,2,0,0,0,03-23-2020
12015.0,3,0,0,0,03-23-2020
51037.0,0,0,0,0,03-23-2020
51540.0,4,0,0,0,03-23-2020
13049.0,1,0,0,0,03-23-2020
20017.0,0,0,0,0,03-23-2020
31029.0,0,0,0,0,03-23-2020
13051.0,4,0,0,0,03-23-2020
37037.0,3,0,0,0,03-23-2020
13053.0,0,0,0,0,03-23-2020
13055.0,1,0,0,0,03-23-2020
20019.0,0,0,0,0,03-23-2020
36013.0,0,0,0,0,03-23-2020
35005.0,4,0,0,0,03-23-2020
47021.0,4,0,0,0,03-23-2020
26031.0,0,0,0,0,03-23-2020
53007.0,6,0,0,0,03-23-2020
36015.0,2,0,0,0,03-23-2020
36017.0,2,0,0,0,03-23-2020
1019.0,0,0,0,0,03-23-2020
13057.0,20,0,0,0,03-23-2020
19035.0,0,0,0,0,03-23-2020
20021.0,2,0,0,0,03-23-2020
37039.0,4,0,0,0,03-23-2020
40021.0,0,0,0,0,03-23-2020
45021.0,0,0,0,0,03-23-2020
48073.0,0,0,0,0,03-23-2020
31031.0,0,0,0,0,03-23-2020
51550.0,0,0,0,0,03-23-2020
33005.0,1,0,0,0,03-23-2020
42029.0,40,0,0,0,03-23-2020
45023.0,1,0,0,0,03-23-2020
47023.0,1,0,0,0,03-23-2020
45025.0,0,0,0,0,03-23-2020
51041.0,9,0,0,0,03-23-2020
8017.0,0,0,0,0,03-23-2020
20023.0,0,0,0,0,03-23-2020
31033.0,0,0,0,0,03-23-2020
19037.0,0,0,0,0,03-23-2020
28017.0,3,0,0,0,03-23-2020
5017.0,0,0,0,0,03-23-2020
48075.0,0,0,0,0,03-23-2020
1021.0,0,0,0,0,03-23-2020
26033.0,1,0,0,0,03-23-2020
27023.0,0,0,0,0,03-23-2020
55017.0,1,0,0,0,03-23-2020
27025.0,2,0,0,0,03-23-2020
50007.0,32,1,0,0,03-23-2020
1023.0,0,0,0,0,03-23-2020
28019.0,0,0,0,0,03-23-2020
40023.0,0,0,0,0,03-23-2020
30015.0,0,0,0,0,03-23-2020
37041.0,1,0,0,0,03-23-2020
17021.0,1,0,0,0,03-23-2020
21047.0,2,0,0,0,03-23-2020
29043.0,2,0,0,0,03-23-2020
32001.0,0,0,0,0,03-23-2020
35006.0,0,0,0,0,03-23-2020
40025.0,0,0,0,0,03-23-2020
12017.0,9,0,0,0,03-23-2020
41005.0,14,0,0,0,03-23-2020
22027.0,2,0,0,0,03-23-2020
28021.0,0,0,0,0,03-23-2020
47025.0,1,0,0,0,03-23-2020
53009.0,4,0,0,0,03-23-2020
26035.0,1,0,0,0,03-23-2020
45027.0,4,1,0,0,03-23-2020
42031.0,0,0,0,0,03-23-2020
5019.0,7,0,0,0,03-23-2020
16033.0,0,0,0,0,03-23-2020
17023.0,0,0,0,0,03-23-2020
18019.0,4,0,0,0,03-23-2020
20025.0,0,0,0,0,03-23-2020
21049.0,2,0,0,0,03-23-2020
29045.0,0,0,0,0,03-23-2020
32003.0,126,4,0,0,03-23-2020
39023.0,1,0,0,0,03-23-2020
46025.0,0,0,0,0,03-23-2020
