FIPS,hospitals,icu_beds
20151,1,6
20153,1,0
20155,2,20
20157,1,0
20159,1,0
20161,2,8
20163,1,0
20165,1,0
20167,1,0
20169,2,18
20171,1,0
20173,6,236
20175,1,8
20177,2,52
20179,1,0
20181,1,0
20183,1,0
20185,1,0
20187,1,0
20189,1,0
20191,2,0
20193,1,1
20195,1,0
20197,0,0
20199,0,0
20201,2,0
20203,1,0
20205,2,0
20207,0,0
20209,2,145
21001,1,0
21003,1,0
21005,0,0
21007,0,0
21009,1,10
21011,0,0
21013,2,7
21015,1,18
21017,1,4
21019,2,50
21021,1,22
21023,0,0
21025,1,4
21027,1,0
21029,0,0
21031,0,0
21033,1,0
21035,1,10
21037,1,21
21039,0,0
21041,1,0
21043,0,0
21045,1,0
21047,1,18
21049,1,8
21051,1,6
21053,1,0
21055,1,0
21057,1,0
21059,1,32
21061,0,0
21063,0,0
21065,1,0
21067,4,260
21069,1,3
21071,3,16
21073,1,10
21075,0,0
21077,0,0
21079,0,0
21081,1,0
21083,1,8
21085,1,6
21087,1,0
21089,0,0
21091,0,0
21093,1,20
21095,1,7
21097,1,6
21099,1,0
21101,1,12
21103,0,0
21105,0,0
21107,1,19
21109,0,0
21111,4,366
21113,0,0
21115,1,6
21117,1,54
21119,0,0
21121,1,4
21123,0,0
21125,1,14
21127,1,6
21129,0,0
21131,1,0
21133,1,6
21135,0,0
21137,1,0
21139,1,0
21141,1,6
21143,0,0
21145,2,58
21147,0,0
21149,0,0
21151,2,12
21153,0,0
21155,1,6
21157,1,4
21159,0,0
21161,1,5
21163,0,0
21165,0,0
21167,1,4
21169,0,0
21171,1,0
21173,1,4
21175,1,0
21177,1,6
21179,1,4
21181,0,0
21183,1,4
21185,1,8
21187,0,0
21189,0,0
21191,0,0
21193,1,32
21195,2,76
21197,0,0
21199,1,38
21201,0,0
21203,1,0
21205,1,10
21207,1,2
21209,1,6
21211,1,4
21213,1,0
21215,0,0
21217,1,8
21219,0,0
21221,1,0
21223,0,0
21225,1,0
21227,2,52
21229,0,0
21231,1,0
21233,0,0
21235,1,10
21237,0,0
21239,1,0
22001,2,4
22003,2,3
22005,1,0
22007,1,0
22009,2,2
22011,1,6
22013,1,0
22015,0,0
22017,5,107
22019,5,75
22021,2,0
22023,1,0
22025,0,0
22027,1,4
22029,1,5
22031,1,0
22033,7,124
22035,1,0
22037,0,0
22039,2,24
22041,1,6
22043,0,0
22045,1,11
22047,0,0
22049,1,0
22051,5,215
22053,1,5
22055,7,80
22057,3,21
22059,2,0
22061,1,17
22063,0,0
22065,1,0
22067,1,12
22069,1,8
22071,5,111
22073,4,88
22075,0,0
22077,1,0
22079,3,26
22081,1,0
22083,2,2
22085,1,0
22087,1,8
22089,1,8
22091,1,0
22093,1,0
22095,0,0
22097,1,16
22099,1,0
22101,2,15
22103,6,149
22105,4,64
22107,0,0
22109,3,26
22111,2,0
22113,2,6
22115,1,7
22117,2,13
22119,2,16
22121,0,0
22123,1,0
22125,1,0
22127,1,5
23001,2,54
23003,4,12
23005,4,72
23007,1,5
23009,3,6
23011,2,16
23013,1,8
23015,1,4
23017,2,6
23019,4,51
23021,2,0
23023,0,0
23025,2,4
23027,1,4
23029,2,0
23031,2,14
24001,1,15
24003,2,53
24005,5,123
24009,1,4
24011,0,0
24013,1,10
24015,1,5
24017,1,10
24019,0,0
24021,1,18
24023,1,2
24025,2,19
24027,1,16
24029,1,6
24031,6,150
24033,5,89
24035,0,0
24037,1,12
24039,1,0
24041,1,16
24043,1,48
24045,1,24
24047,1,6
24510,12,508
25001,2,34
25003,2,24
25005,4,96
25007,1,0
25009,5,98
25011,1,6
25013,5,119
25015,1,11
25017,11,216
25019,1,0
25021,4,59
25023,3,47
25025,10,447
25027,8,169
26001,0,0
26003,1,0
26005,1,0
26007,1,9
26009,0,0
26011,1,5
26013,1,0
26015,1,0
26017,1,32
26019,1,0
26021,2,20
26023,1,10
26025,2,32
26027,1,0
26029,1,0
26031,0,0
26033,1,6
26035,1,0
26037,1,2
26039,1,6
26041,1,9
26043,1,6
26045,2,0
26047,1,58
26049,3,151
26051,1,0
26053,1,5
26055,1,20
26057,1,0
26059,1,4
26061,2,5
26063,3,4
26065,2,219
26067,1,2
26069,1,4
26071,1,3
26073,1,8
26075,1,51
26077,2,34
26079,1,0
26081,3,150
26083,0,0
26085,0,0
26087,1,10
26089,0,0
26091,2,0
26093,2,8
26095,1,0
26097,1,0
26099,4,122
