FIPS,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
39077,"4,628","18,335","11,045","5,354",11.8,46.6,28.1,13.6
39079,"3,416","9,252","6,070","3,372",15.5,41.8,27.5,15.3
39081,"4,593","20,628","15,023","7,291",9.7,43.4,31.6,15.3
39083,"3,733","15,990","11,156","9,122",9.3,40,27.9,22.8
39085,"13,190","52,508","53,096","45,976",8,31.9,32.2,27.9
39087,"5,755","18,549","12,190","6,110",13.5,43.5,28.6,14.3
39089,"10,209","40,348","35,129","30,402",8.8,34.8,30.3,26.2
39091,"2,705","15,215","8,176","4,982",8.7,49,26.3,16
39093,"21,800","66,521","71,981","50,672",10.3,31.5,34.1,24
39095,"31,510","86,684","96,902","76,672",10.8,29.7,33.2,26.3
39097,"4,071","13,026","8,966","5,317",13,41.5,28.6,16.9
39099,"14,934","62,331","47,306","39,658",9.1,38,28.8,24.1
39101,"5,750","20,094","14,408","6,070",12.4,43.4,31.1,13.1
39103,"6,282","38,916","36,879","41,020",5.1,31.6,30,33.3
39105,"2,855","6,919","4,665","2,125",17.2,41.8,28.2,12.8
39107,"2,249","12,548","7,672","4,505",8.3,46.5,28.4,16.7
39109,"7,121","26,778","22,438","16,425",9.8,36.8,30.8,22.6
39111,"1,214","5,325","2,453","1,215",11.9,52.2,24,11.9
39113,"36,035","102,039","125,902","99,765",9.9,28.1,34.6,27.4
39115,"1,413","4,761","3,085","1,181",13.5,45.6,29.5,11.3
39117,"3,200","10,639","6,821","3,230",13.4,44.5,28.6,13.5
39119,"7,410","24,568","17,351","9,043",12.7,42.1,29.7,15.5
39121,"1,644","5,422","2,844","1,132",14.9,49.1,25.8,10.3
39123,"2,418","10,747","10,340","6,797",8,35.5,34.1,22.4
39125,"1,397","6,361","3,444","1,839",10.7,48.8,26.4,14.1
39127,"3,501","10,995","6,991","3,009",14.3,44.9,28.5,12.3
39129,"5,081","16,315","11,011","7,401",12.8,41,27.7,18.6
39131,"3,678","7,834","5,193","2,666",19,40.4,26.8,13.8
39133,"8,264","38,005","28,447","30,033",7.9,36.3,27.2,28.7
39135,"3,041","12,513","8,582","4,533",10.6,43.6,29.9,15.8
39137,"1,528","9,565","6,882","4,575",6.8,42.4,30.5,20.3
