state,county,category,change,changecalc,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
Oregon,Yamhill County,Grocery & pharmacy,-4,-4.212029999999997,5.67,9.844,6.381,19.137,13.119,7.521,2.625,6.642,8.591,9.384,10.259,12.727,21.999,29.035,11.664,1.432,21.209,14.205,8.224,5.077,7.054,-3.888,-7.517,-14.827,-20.518,-19.384,-19.179,-23.95,-23.814,-24.878,-25.15,-14.205,-10.182,-13.35,-12.959,-18.144,-17.54,-16.517,-9.075,-8.419,-7.333,-7.874,-4.212
Oregon,Yamhill County,Workplace,-33,-34.048931666666675,1.154,2.948,0.323,0.622,1.138,0.206,1.251,2.02,-0.655,0.539,0.415,0.31,-1.342,-0.796,-2.597,-11.792,-19.841,-26.43,-30.205,-31.9,-33.32,-24.238,-32.429,-40.653,-46.227,-46.239,-46.973,-47.535,-36.357,-40.618,-45.721,-47.264,-47.687,-47.489,-46.397,-37.8,-39.963,-45.937,-47.575,-47.48,-49.141,-48.444,-34.049
Oregon,Yamhill County,Residential,11,11.398994999999998,-1.094,-1.823,-0.605,-0.8,-1.428,-0.254,-0.466,-0.592,-0.659,-0.897,-1.15,-1.051,0.044,2.236,5.148,3.272,5.724,8.772,9.486,11.68,11.352,7.762,7.548,14.158,18.097,16.996,19.068,19.882,14.299,12.394,17.396,17.462,17.326,18.727,18.549,13.584,11.008,15.969,16.482,15.862,17.621,17.843,11.399
South Dakota,Davison County,Workplace,-25,-26.041666666666668,,,2.644,0.516,,-1.547,-0.54,1.447,,-3.173,-3.61,-3.125,-5.672,-7.556,-4.34,-10.776,-16.392,-17.533,-18.75,-23.205,-24.288,-8.681,-12.572,-24.852,-26.3,-28.646,-26.3,-29.685,-17.361,-19.756,-27.496,-29.909,-28.646,-32.488,-34.003,-18.808,-23.348,-29.611,-30.941,-30.729,-33.003,-46.956,-26.042
South Dakota,Pennington County,Retail & recreation,-52,-54.32128833333333,20.955,17.975,9.178,10.587,12.146,12.217,11.806,19.572,14.185,9.579,10.532,11.062,8.233,0.434,-33.569,-7.796,-3.614,-2.194,-8.568,-24.86,-21.094,-27.262,-30.86,-19.847,-24.903,-36.548,-35.59,-36.502,-48.421,-43.908,-33.154,-29.456,-31.288,-61.831,-39.28,-46.061,-39.577,-29.311,-28.963,-34.921,-33.04,-27.951,-54.321
South Dakota,Pennington County,Grocery & pharmacy,-2,-1.627604999999998,58.797,50.254,30.745,13.278,14.225,15.568,17.525,22.38,17.32,15.831,27.701,33.04,32.738,50.41,-4.883,21.712,31.204,28.617,24.78,11.676,25.992,20.752,10.49,10.784,9.386,-0.918,-1.603,0.197,-5.697,-5.855,-2.524,0.458,6.195,-28.159,-2.954,-1.221,-0.976,2.065,2.747,-5.277,2.06,23.629,-1.628
South Dakota,Pennington County,Parks,-58,-60.30702000000001,39.748,-9.384,11.574,10.19,36.962,23.958,60.841,135.005,20.646,75.874,43.025,84.005,25.0,0.922,-52.769,12.2,16.718,69.067,34.722,-28.125,-7.375,45.916,36.599,96.451,60.009,-13.441,-9.375,3.687,19.189,93.844,84.877,93.976,,-55.208,-14.749,-6.853,74.137,95.165,109.828,33.602,23.958,88.496,-60.307
South Dakota,Pennington County,Transit stations,-33,-34.72222666666667,21.862,10.27,23.81,5.411,21.862,7.53,17.361,23.148,,17.857,9.47,15.432,8.785,12.401,-12.86,4.401,11.905,10.823,5.144,-11.295,4.96,12.86,-10.27,,,-19.29,-16.315,-11.161,-10.288,-24.941,-8.929,-13.528,-21.862,-36.396,-8.681,-14.146,-19.073,-4.464,-12.175,-18.004,-21.335,-12.401,-34.722
South Dakota,Pennington County,Workplace,-35,-36.02025333333333,7.058,8.892,7.602,1.831,0.855,3.086,6.31,-3.407,0.318,3.287,-0.578,-1.994,-3.086,-0.724,-14.116,-5.716,-13.149,-17.441,-22.22,-27.778,-21.93,-14.359,-21.596,-24.038,-30.932,-34.279,-36.169,-34.964,-28.719,-31.758,-34.619,-38.93,-40.166,-54.398,-39.308,-32.37,-34.616,-36.16,-39.508,-42.065,-41.281,-43.239,-36.02
South Dakota,Pennington County,Residential,15,15.239455,-3.805,-1.387,-1.402,-1.219,-1.286,-1.551,-2.985,-5.206,-0.374,-0.852,-0.966,-1.348,-0.257,2.209,8.384,2.902,7.485,7.01,9.306,14.082,13.634,6.489,6.685,10.879,12.816,16.669,17.123,18.612,11.579,8.127,14.513,15.16,17.33,26.326,21.465,12.7,8.478,14.681,14.841,17.215,17.322,16.011,15.239
Virginia,Accomack County,Grocery & pharmacy,-4,-3.8580266666666674,16.718,12.311,7.836,8.681,9.019,8.717,2.904,18.004,8.049,14.288,12.564,9.019,16.562,21.051,32.15,16.572,30.881,11.422,9.019,8.281,3.267,9.002,-6.629,-10.601,-7.31,-19.39,-10.024,-21.414,-16.289,-18.466,-4.148,-14.163,-11.273,-17.87,-22.14,-19.29,-19.413,-23.046,-20.102,-11.273,-14.383,-17.059,-3.858
Virginia,Accomack County,Workplace,-19,-19.88636666666667,19.886,3.551,4.871,1.86,2.178,3.313,0.766,-3.788,,1.499,1.488,0.363,,0.383,24.621,-7.102,-13.115,-15.253,-17.785,-18.772,-17.616,3.788,-22.491,-29.601,-23.438,-30.488,-25.029,-25.276,-12.311,-27.225,-26.229,-28.274,-32.303,-29.814,-28.722,3.788,-26.042,-28.852,-31.25,-32.666,-30.919,-32.169,-19.886
Virginia,Albemarle County,Retail & recreation,-48,-49.90975666666667,10.455,8.465,5.783,14.776,9.007,6.403,4.627,5.943,3.778,5.38,4.747,6.2,8.179,4.737,-13.207,-20.707,-10.692,-22.665,-28.979,-32.778,-35.64,-46.718,-51.349,-42.097,-43.726,-46.209,-43.619,-45.721,-51.671,-52.118,-40.685,-48.206,-46.927,-46.219,-46.823,-54.312,-54.777,-47.208,-44.929,-46.536,-45.838,-46.602,-49.91
Virginia,Albemarle County,Grocery & pharmacy,-18,-18.882173333333334,8.812,1.403,4.285,14.98,7.416,6.764,0.84,5.035,-0.351,5.274,8.361,12.473,35.511,27.162,15.42,-3.507,18.46,9.755,-4.72,2.029,-7.0,-10.7,-22.096,-19.119,-15.329,-23.261,-18.263,-20.721,-20.77,-31.215,-17.801,-22.297,-18.541,-14.543,-22.401,-20.456,-28.058,-24.723,-16.722,-20.901,-19.278,-22.121,-18.882
