name,level,city,county,state,country_code,population,lat,long,url,aggregate,tz,cases,deaths,recovered,active,tested,growthFactor,date,country,location
"Jiangxi, China",state,,,Jiangxi,China,44567475.0,27.2845,116.026,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,937.0,1.0,936.0,,,,2020-04-10,,Jiangxi
"Jiangxi, China",state,,,Jiangxi,China,44567475.0,27.2845,116.026,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,937.0,1.0,936.0,,,,2020-04-11,,Jiangxi
"Jilin, China",state,,,Jilin,China,27462297.0,43.5835,126.4735,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,98.0,1.0,95.0,2.0,,,2020-04-10,,Jilin
"Jilin, China",state,,,Jilin,China,27462297.0,43.5835,126.4735,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,98.0,1.0,95.0,2.0,,,2020-04-11,,Jilin
"Liaoning, China",state,,,Liaoning,China,43746323.0,41.1065,122.3125,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,144.0,2.0,132.0,10.0,,,2020-04-10,,Liaoning
"Liaoning, China",state,,,Liaoning,China,43746323.0,41.1065,122.3125,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,144.0,2.0,132.0,10.0,,,2020-04-11,,Liaoning
Macau,country,,,,Macau,642900.0,22.1645,113.5605,https://github.com/CSSEGISandData/COVID-19,country,Asia/Macau,45.0,,10.0,35.0,,,2020-04-10,,
Macau,country,,,,Macau,642900.0,22.1645,113.5605,https://github.com/CSSEGISandData/COVID-19,country,Asia/Macau,45.0,,10.0,35.0,,,2020-04-11,,
"Ningxia, China",state,,,Ningxia,China,6301350.0,37.31,105.9685,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,75.0,,75.0,,,,2020-04-10,,Ningxia
"Ningxia, China",state,,,Ningxia,China,6301350.0,37.31,105.9685,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,75.0,,75.0,,,,2020-04-11,,Ningxia
