FIPS,hospitals,icu_beds,total_pop,60plus,
27037,2,12,414655,76445,
27039,0,0,20485,4015,
27041,1,8,36891,10617,
27043,1,4,13966,4173,
27045,0,0,20825,5688,
27047,1,18,30619,8707,
27049,2,4,46138,11621,
27051,1,0,5923,1742,
27053,8,311,1224763,229263,
27055,0,0,18709,5202,
27057,1,0,20743,6829,
27059,1,0,38584,8001,
27061,3,9,45237,13673,
27063,1,0,10104,2709,
27065,1,4,15948,4382,
27067,1,8,42577,10445,
27069,1,0,4384,1407,
27071,1,0,12776,3913,
27073,2,0,6840,2313,
27075,1,0,10578,3602,
27077,1,0,3841,1232,
27079,1,0,27810,6343,
27081,2,0,5724,1776,
27083,2,0,25789,5263,
27085,2,6,35816,8587,
27087,1,0,5500,1271,
27089,1,0,9397,2567,
27091,1,0,20084,5976,
27093,1,0,23105,6003,
27095,2,4,25635,6127,
27097,1,6,32880,8184,
27099,0,0,39386,9579,
27101,1,0,8394,2671,
27103,1,0,33477,6976,
27105,1,0,21854,4637,
27107,1,0,6589,1823,
27109,2,218,151685,29861,
27111,2,5,57790,17615,
27113,1,0,14197,3528,
27115,1,0,29057,7541,
27117,1,0,9229,2504,
27119,2,5,31564,7554,
27121,1,0,10932,3343,
27123,4,135,537893,102817,
27125,0,0,4017,1029,
27127,1,0,15430,4318,
27129,1,0,14798,4088,
27131,2,4,65251,13206,
27133,1,0,9433,2496,
27135,1,0,15537,3493,
27137,8,179,200294,50288,
27139,2,0,141463,20208,
27141,0,0,92024,13888,
27143,1,0,14888,3491,
27145,4,41,155300,30193,
27147,1,0,36612,8393,
27149,1,0,9759,2143,
27151,2,0,9448,2663,
27153,2,3,24423,6859,
27155,1,0,3357,1101,
27157,2,0,21490,5929,
27159,1,2,13626,3789,
27161,1,0,18898,4286,
27163,2,31,250979,49212,
27165,2,0,10936,2839,
27167,1,0,6398,1726,
27169,1,8,50992,10914,
27171,2,3,131130,22152,
27173,2,0,9930,2657,
28001,1,15,31583,7493,
28003,1,24,37242,8512,
28005,0,0,12574,3755,
28007,1,0,18731,4680,
28009,0,0,8306,2049,
28011,1,8,33121,6690,
28013,1,0,14617,3727,
28015,0,0,10221,2872,
28017,1,0,17305,3982,
28019,1,0,8360,2362,
